ts,t,waiting,running,desired,replicas,ready
1789842202.9,0.0,0.0,0.0,0,1,1
1789842205.1,2.1,0.0,0.0,0,1,1
1789842207.2,4.3,0.0,0.0,0,1,1
1789842209.3,6.4,0.0,0.0,0,1,1
1789842211.5,8.6,0.0,0.0,0,1,1
1789842213.7,10.7,0.0,2.0,0,1,1
1789842215.8,12.9,0.0,2.0,0,1,1
1789842218.0,15.1,0.0,2.0,1,1,1
1789842220.2,17.2,0.0,2.0,1,1,1
1789842222.3,19.3,0.0,2.0,1,1,1
1789842224.4,21.5,0.0,2.0,1,1,1
1789842226.6,23.6,0.0,2.0,1,1,1
1789842228.7,25.7,0.0,2.0,1,1,1
1789842230.8,27.9,0.0,2.0,1,1,1
1789842233.0,30.0,0.0,2.0,1,1,1
1789842235.1,32.1,0.0,2.0,1,1,1
1789842237.2,34.3,9.0,4.0,1,1,1
1789842239.4,36.4,9.0,4.0,1,1,1
1789842241.5,38.6,9.0,4.0,1,1,1
1789842243.6,40.7,18.0,4.0,1,1,1
1789842245.9,42.9,18.0,4.0,1,1,1
1789842248.2,45.1,29.0,4.0,4,4,1
1789842250.4,47.4,29.0,4.0,4,4,1
1789842252.7,49.7,41.0,4.0,4,4,1
1789842254.9,51.9,41.0,4.0,4,4,1
1789842257.1,54.1,50.0,4.0,4,4,1
1789842259.3,56.3,50.0,4.0,4,4,1
1789842261.6,58.6,50.0,4.0,4,4,1
1789842263.8,60.8,61.0,4.0,4,4,1
1789842266.0,63.0,61.0,4.0,4,4,1
1789842268.2,65.2,72.0,4.0,4,4,1
1789842270.4,67.4,72.0,4.0,4,4,4
1789842272.7,69.7,77.0,4.0,4,4,4
1789842274.9,71.9,77.0,5.0,4,4,4
1789842277.2,74.1,75.0,10.0,4,4,4
1789842279.4,76.4,75.0,10.0,4,4,4
1789842281.6,78.6,75.0,10.0,4,4,4
1789842283.8,80.8,70.0,7.0,4,4,4
1789842286.0,83.0,70.0,10.0,4,4,4
1789842288.3,85.3,65.0,12.0,4,4,4
1789842290.5,87.5,68.0,12.0,4,4,4
1789842292.8,89.7,63.0,11.0,4,4,4
1789842295.0,92.0,60.0,10.0,4,4,4
1789842297.2,94.2,53.0,13.0,4,4,4
1789842299.4,96.4,53.0,13.0,4,4,4
1789842301.7,98.7,53.0,13.0,4,4,4
1789842303.9,100.9,51.0,10.0,4,4,4
1789842306.1,103.1,51.0,10.0,4,4,4
1789842308.3,105.3,45.0,11.0,4,4,4
1789842310.6,107.6,45.0,9.0,4,4,4
1789842312.8,109.8,40.0,9.0,4,4,4
1789842315.0,112.0,40.0,11.0,4,4,4
1789842317.2,114.2,37.0,12.0,4,4,4
1789842319.4,116.4,37.0,11.0,4,4,4
1789842321.6,118.6,37.0,11.0,4,4,4
1789842323.8,120.8,30.0,10.0,4,4,4
1789842326.0,123.0,30.0,11.0,4,4,4
1789842328.2,125.2,24.0,11.0,4,4,4
1789842330.4,127.4,24.0,12.0,4,4,4
1789842332.6,129.6,18.0,12.0,4,4,4
1789842334.7,131.8,18.0,12.0,4,4,4
1789842336.9,133.9,18.0,11.0,4,4,4
1789842339.0,136.1,14.0,11.0,4,4,4
1789842341.2,138.2,14.0,9.0,4,4,4
1789842343.3,140.3,12.0,11.0,4,4,4
1789842345.4,142.5,12.0,11.0,4,4,4
